,code,name,i_median,i_from,i_average,i_mean,i_to,code_status,subcategory
MEbq6,MEbq6,2M,0,0,0,0.019247,0.6369429999999999,live,TV channels
MEbq9,MEbq9,6ter,0,0,0,0.003254,0.268817,live,TV channels
MEbxy,MEbxy,9GEEK,0,0,0,0.011977999999999999,0.289855,live,Blogs
MEbxb,MEbxb,AB Moteurs,0,0,0,0.0015049999999999998,0.12453299999999999,live,TV channels
MEbxn,MEbxn,AB3,0,0,0,0.015588999999999999,0.37537499999999996,live,TV channels
MEbxd,MEbxd,ABP Majha,0,0,0,0.0029219999999999997,0.16722399999999998,live,TV channels
MEbxr,MEbxr,Adnkronos,0,0,0,0.026684,1.467803,live,Online News
MEbxf,MEbxf,Adult Swim,0.3557,0,0.3557,0.9749669999999999,14.560597,live,TV channels
MEbxg,MEbxg,Aeon,0,0,0,0.050303999999999995,1.34821,live,Magazines
MEbx8,MEbx8,Afilias,0,0,0,0.004761,0.168492,live,Blogs
MEbxe,MEbxe,Africa 24,0,0,0,0.261246,16.44196,live,TV channels
MEbxj,MEbxj,AIT,0,0,0,0.023149,1.993459,live,TV channels
MEbxk,MEbxk,Africanews,0.034530000000000005,0,0.034530000000000005,0.264814,9.64497,live,TV channels
MEbxm,MEbxm,Agi Agenzia Italia,0,0,0,0.016517,0.998697,live,TV channels
MEbxc,MEbxc,Air1 Radio,0.034244,0,0.034244,0.127422,4.394531,live,Radio stations
MEbxp,MEbxp,Al Aoula,0,0,0,0.002005,0.126839,live,TV channels
MEbxq,MEbxq,Al Jadeed,0,0,0,0.014064,0.49261099999999997,live,TV channels
MEbxx,MEbxx,Al Sharqiya,0,0,0,0.000236,0.040420000000000005,live,TV channels
MEbxo,MEbxo,Al-Alam News Network,0,0,0,0.00033000000000000005,0.056084999999999996,live,TV channels
MEbxt,MEbxt,Alhurra,0,0,0,0.017192,0.647821,live,TV channels
MEbx1,MEbx1,Alo,0.383105,0,0.383105,0.8530209999999999,23.595858,live,Newspapers
MEbxu,MEbxu,Alouette,0,0,0,0.0011639999999999999,0.126904,live,Blogs
MEbxw,MEbxw,Alsumaria,0,0,0,0.010425,0.493963,live,TV channels
MEbxs,MEbxs,Anadolu Agency,0,0,0,0.019599,0.5704509999999999,live,Online News
MEbxz,MEbxz,Animal Planet,0.723098,0,0.723098,1.100509,8.619001,live,TV channels
MEbxa,MEbxa,ANT1,0,0,0,0.016826,0.3125,live,TV channels
MEbx3,MEbx3,Apartment Therapy,0.506029,0,0.506029,1.928736,31.119199,live,Blogs
MEbx4,MEbx4,Association for Progressive Communications,0,0,0,0.002025,0.097276,live,Newspapers
MEbx5,MEbx5,Arryadia,0,0,0,0.004031,0.222298,live,TV channels
MEbxh,MEbxh,Asahi Shimbun,0,0,0,0.0022069999999999998,0.10005000000000001,live,Newspapers
MEbx7,MEbx7,askanews,0,0,0,0.005586,0.37144699999999997,live,TV channels
MEbx6,MEbx6,At the Races,0,0,0,0.036957,2.2673959999999997,live,Online News
MEbx9,MEbx9,AutonetMagz,0,0,0,0.170065,8.500773,live,Magazines
MEboy,MEboy,BabyFirst,0.040757999999999996,0,0.040757999999999996,0.07427199999999999,0.845309,live,TV channels
